frame,time(s),L hip,R hip,L knee,R knee,L ankle,R ankle,L crutch,R crutch,M_L crutch,M_R crutch,thigh c_x,thigh c_y,shank c_x,shank c_y
138,0.575,7.667,-17.03,5.943,23.345,19.944,11.179,,55.103,,,917.4999905,604.0000069,940.4999828,842.5000048
139,0.579166667,7.574,-17.501,5.886,23.414,19.744,11.283,,55.049,,,917.4999905,604.5000082,940.4999828,842.5000048
140,0.583333333,7.508,-17.03,6.107,23.371,19.821,11.301,,54.959,,,917.4999905,604.9999934,940.4999828,842.99999
141,0.5875,7.436,-17.03,6.119,23.371,19.889,11.294,,55.252,,,917.4999905,604.9999934,940.4999828,842.99999
142,0.591666667,8.171,-17.03,5.971,23.371,19.919,11.304,,55.18,,,917.4999905,604.9999934,940.4999828,842.99999
143,0.595833333,7.7,-17.03,5.722,23.371,19.912,11.271,,55.114,,,917.4999905,604.9999934,940.4999828,842.99999
144,0.6,7.964,-17.03,5.592,23.371,19.871,11.235,,55.234,,,917.4999905,604.9999934,940.4999828,842.99999
145,0.604166667,8.333,-17.03,5.778,23.371,19.813,11.028,,55.257,,,917.4999905,604.9999934,940.4999828,842.99999
146,0.608333333,8.065,-17.03,5.375,23.371,19.973,11.089,,55.365,,,917.4999905,604.9999934,940.4999828,842.99999
147,0.6125,8.057,-17.03,5.372,23.371,20.084,10.998,,55.332,,,917.4999905,604.9999934,940.4999828,842.99999
148,0.616666667,8.365,-17.03,5.263,23.371,20.123,10.802,,55.28,,,917.4999905,604.9999934,940.4999828,842.99999
149,0.620833333,8.292,-17.501,5.247,24.064,20.405,10.313,,55.277,,,918.0000114,604.9999934,941.0000038,842.99999
150,0.625,8.753,-17.501,5.219,24.064,20.25,10.328,,55.313,,,918.0000114,604.9999934,941.0000038,842.99999
151,0.629166667,8.631,-17.501,5.196,24.064,20.315,10.16,,55.78,,,918.0000114,604.9999934,941.0000038,842.99999
152,0.633333333,8.736,-17.501,5.248,24.009,20.439,9.992,,55.798,,,918.0000114,604.9999934,941.0000038,843.5000074
153,0.6375,8.749,-17.501,5.213,24.009,20.585,9.987,,55.319,,,918.0000114,604.9999934,941.0000038,843.5000074
154,0.641666667,8.746,-17.501,5.208,23.788,20.626,9.986,,55.612,,,918.5000038,604.9999934,941.0000038,843.5000074
155,0.645833333,8.728,-17.501,5.24,23.788,20.691,9.995,,55.896,,,918.5000038,604.9999934,941.0000038,843.5000074
156,0.65,8.738,-17.501,5.299,23.857,20.93,9.825,,55.669,,,918.5000038,605.4999948,941.0000038,843.5000074
157,0.654166667,8.741,-17.501,5.36,23.842,20.927,9.809,,55.98,,,918.5000038,606.0000122,941.0000038,844.0000248
158,0.658333333,8.721,-17.501,5.351,23.857,20.971,9.72,,56.27,,,918.5000038,605.4999948,941.0000038,843.5000074
