frame,time(s),R knee (deg)
651,2.7125,114.711
652,2.716666667,115.264
653,2.720833333,115.509
654,2.725,115.688
655,2.729166667,115.908
656,2.733333333,116.642
657,2.7375,116.826
658,2.741666667,117.073
659,2.745833333,117.073
660,2.75,117.559
661,2.754166667,117.22
662,2.758333333,118.094
663,2.7625,118.486
664,2.766666667,119.144
665,2.770833333,119.393
666,2.775,119.642
667,2.779166667,119.855
668,2.783333333,120.475
669,2.7875,120.726
670,2.791666667,120.726
671,2.795833333,121.109
672,2.8,121.36
673,2.804166667,121.61
674,2.808333333,121.861
675,2.8125,122.021
676,2.816666667,122.273
677,2.820833333,122.732
678,2.825,123.055
679,2.829166667,123.273
680,2.833333333,123.525
681,2.8375,123.993
682,2.841666667,124.204
683,2.845833333,124.457
684,2.85,124.621
685,2.854166667,124.875
686,2.858333333,124.875
687,2.8625,125.347
688,2.866666667,125.555
689,2.870833333,125.884
690,2.875,126.139
691,2.879166667,126.768
692,2.883333333,126.768
693,2.8875,127.023
694,2.891666667,127.246
695,2.895833333,127.502
696,2.9,127.502
697,2.904166667,127.502
698,2.908333333,127.759
699,2.9125,127.894
700,2.916666667,128.35
701,2.920833333,128.607
702,2.925,128.865
703,2.929166667,128.865
704,2.933333333,129.289
705,2.9375,129.547
706,2.941666667,129.547
707,2.945833333,129.806
708,2.95,129.806
709,2.954166667,129.897
710,2.958333333,130.141
711,2.9625,130.323
712,2.966666667,130.323
713,2.970833333,130.658
714,2.975,130.916
715,2.979166667,130.916
716,2.983333333,131.175
717,2.9875,131.175
718,2.991666667,131.267
719,2.995833333,131.526
720,3,131.526
721,3.004166667,131.785
722,3.008333333,131.967
723,3.0125,132.225
724,3.016666667,132.225
725,3.020833333,132.652
726,3.025,132.473
727,3.029166667,132.639
728,3.033333333,132.899
729,3.0375,132.887
730,3.041666667,133.159
731,3.045833333,133.159
732,3.05,133.159
733,3.054166667,133.419
734,3.058333333,133.679
735,3.0625,133.679
736,3.066666667,133.679
737,3.070833333,133.939
738,3.075,133.939
739,3.079166667,134.193
740,3.083333333,134.196
741,3.0875,134.196
742,3.091666667,134.628
743,3.095833333,134.889
744,3.1,134.889
745,3.104166667,135.149
746,3.108333333,135.149
747,3.1125,135.41
748,3.116666667,135.41
749,3.120833333,135.84
750,3.125,135.84
751,3.129166667,135.84
752,3.133333333,136.1
753,3.1375,136.1
754,3.141666667,136.363
755,3.145833333,136.363
756,3.15,136.363
757,3.154166667,136.625
758,3.158333333,136.625
759,3.1625,136.361
760,3.166666667,136.621
761,3.170833333,136.704
762,3.175,136.882
763,3.179166667,136.886
764,3.183333333,137.148
765,3.1875,137.148
766,3.191666667,137.148
767,3.195833333,136.982
768,3.2,137.243
769,3.204166667,137.243
770,3.208333333,137.662
771,3.2125,137.505
772,3.216666667,137.923
773,3.220833333,137.766
774,3.225,137.932
775,3.229166667,138.183
776,3.233333333,138.193
777,3.2375,138.454
778,3.241666667,138.454
779,3.245833333,138.454
780,3.25,138.716
781,3.254166667,138.716
782,3.258333333,138.716
783,3.2625,138.976
784,3.266666667,138.976
785,3.270833333,138.825
786,3.275,138.906
787,3.279166667,139.43
788,3.283333333,139.319
789,3.2875,139.237
790,3.291666667,139.237
791,3.295833333,139.349
792,3.3,139.349
793,3.304166667,139.58
794,3.308333333,139.498
795,3.3125,139.43
796,3.316666667,139.691
797,3.320833333,139.691
798,3.325,139.841
799,3.329166667,139.758
800,3.333333333,139.953
801,3.3375,140.101
802,3.341666667,139.953
803,3.345833333,140.101
804,3.35,139.953
805,3.354166667,139.953
806,3.358333333,140.215
807,3.3625,139.953
808,3.366666667,140.215
809,3.370833333,140.215
810,3.375,140.113
811,3.379166667,140.113
812,3.383333333,140.113
813,3.3875,140.113
814,3.391666667,140.113
815,3.395833333,140.133
816,3.4,140.113
817,3.404166667,140.284
818,3.408333333,140.284
819,3.4125,140.456
820,3.416666667,140.456
821,3.420833333,140.544
822,3.425,140.476
823,3.429166667,140.544
824,3.433333333,140.544
825,3.4375,140.544
826,3.441666667,140.544
827,3.445833333,140.544
828,3.45,140.71
829,3.454166667,140.476
830,3.458333333,140.992
831,3.4625,140.731
832,3.466666667,140.992
833,3.470833333,140.992
834,3.475,140.992
835,3.479166667,140.992
836,3.483333333,140.969
837,3.4875,140.798
838,3.491666667,140.798
839,3.495833333,140.539
840,3.5,140.539
841,3.504166667,140.799
842,3.508333333,140.799
843,3.5125,140.799
844,3.516666667,140.964
845,3.520833333,140.964
846,3.525,140.964
847,3.529166667,140.964
848,3.533333333,140.821
849,3.5375,140.964
850,3.541666667,140.821
851,3.545833333,140.821
852,3.55,140.821
853,3.554166667,140.821
854,3.558333333,140.799
855,3.5625,141.058
856,3.566666667,141.058
857,3.570833333,140.969
858,3.575,140.969
859,3.579166667,140.969
860,3.583333333,140.969
861,3.5875,140.969
862,3.591666667,140.969
863,3.595833333,140.969
864,3.6,140.969
865,3.604166667,140.826
866,3.608333333,140.969
867,3.6125,141.229
868,3.616666667,141.087
869,3.620833333,141.229
870,3.625,141.229
871,3.629166667,141.087
872,3.633333333,141.229
873,3.6375,141.253
874,3.641666667,141.253
875,3.645833333,141.253
876,3.65,141.253
877,3.654166667,141.229
878,3.658333333,140.992
879,3.6625,141.082
